date,pblh_mean,pblh_min,pblh_max,pblh_night,pblh_range,t850_mean,slp_mean,tqv_mean,inversion_strength,inversion_strength_max,ventilation_index,ventilation_index_min,t850_max
2023-06-29,725.4899,161.17096,1735.1445,903.51276,1573.9736,19.297453,1010.22705,18.009888,-0.16771507336425628,-3.5711662304687515,1266.47072038974,281.3523564338684,23.841614
2023-06-30,1129.8632,565.3354,1873.6088,1240.0387,1308.2734,25.378504,1009.88544,18.51439,3.2808317994384772,-1.5447998847656237,1579.5802197153441,790.3546455379944,28.032318
2023-07-01,1529.2108,910.255,1799.876,1624.4042,889.621,27.723593,1009.39716,18.08093,4.46095675817871,-0.6227723300781243,2291.638015259033,1364.0859400952636,28.854462
2023-07-02,1054.7787,609.09436,1487.6925,1076.1395,878.59814,28.154364,1009.7556,19.149338,5.428874632202149,0.062255537109376036,1987.2243519396238,1147.5460786084227,28.65805
2023-07-03,617.26526,199.63142,1177.897,684.7947,978.26556,27.271204,1009.71466,13.563485,4.2418399947509755,-0.4269709609374992,1593.3719969347655,515.3167396047363,28.25354
2023-07-04,625.8386,104.13788,1099.9641,847.86505,995.82623,23.78058,1009.9839,8.26235,2.6385055206298844,0.5926202832031251,1537.881884986084,255.89944573919678,27.38504
2023-07-05,530.7762,112.032555,1201.1687,681.24536,1089.1361,21.132795,1010.9868,8.277818,0.993575333862303,-4.765503554687498,1225.1257517892395,258.59104426283795,22.240356
2023-07-06,536.04974,190.12106,1064.7866,678.9461,874.6655,21.059736,1010.46655,10.528304,1.3662152518310542,-3.1707453652343744,1227.2870137965026,435.28257352486264,22.213776
2023-07-07,565.66046,162.75629,1182.7197,718.3026,1019.96344,20.00964,1008.5257,10.756462,1.027587739990235,-3.6005248671874988,1421.4832444654542,409.000363539917,21.868286
2023-07-08,568.08325,141.79372,1265.7675,716.3827,1123.9738,20.321573,1007.6202,12.286621,0.576763257446288,-5.167266775390626,1262.0785777771728,315.0151168077713,21.426605
2023-07-09,581.93945,162.44595,1128.1877,679.53754,965.7418,19.84308,1009.1497,12.647067,0.14362352062988393,-3.9575806347656233,1242.1512757378905,346.7413098259094,21.3331
2023-07-10,558.49884,187.17514,1143.7313,696.01324,956.55615,20.574251,1010.1123,8.859832,-0.3312988250732438,-4.080566306640623,1155.7087990842285,387.3239138319092,23.95346
2023-07-11,585.6872,98.683136,1146.3531,616.80347,1047.67,23.095055,1011.16376,14.936505,0.16776862646484503,-5.108124648437499,1302.6025254212402,219.47705752873537,24.016235
2023-07-12,520.38745,70.07947,1236.5979,633.1295,1166.5184,21.949457,1012.226,29.874525,-2.1775568314208975,-6.6699827617187495,1384.9043657502198,186.50211616427,23.259094
2023-07-13,525.197,64.916725,1236.1007,670.13226,1171.184,22.570505,1011.3542,26.022318,-1.8555108577880866,-5.598296230468751,1473.0165148174804,182.0714976188507,24.810364
