date,daily_aqi,n_monitor_readings,n_sites,pollutants_used,dominant_pollutant,dominant_site
2016-06-25,187,24,16,"Ozone,PM2.5",Ozone,Santa Clarita
2016-06-26,195,30,17,"Ozone,PM2.5",Ozone,Glendora
2016-06-27,177,24,16,"Ozone,PM2.5",Ozone,Santa Clarita
2016-06-28,133,20,14,"Ozone,PM2.5",Ozone,Glendora
2016-06-29,210,29,16,"Ozone,PM2.5",Ozone,Santa Clarita
2016-06-30,166,25,16,"Ozone,PM2.5",Ozone,Santa Clarita
2016-07-01,105,24,16,"Ozone,PM2.5",Ozone,Santa Clarita
2016-07-02,122,30,17,"Ozone,PM2.5",Ozone,Lancaster-Division Street
2016-07-03,84,24,16,"Ozone,PM2.5",Ozone,Glendora
2016-07-04,90,24,16,"Ozone,PM2.5",Ozone,Lancaster-Division Street
2016-07-05,129,33,17,"Ozone,PM2.5",Ozone,Lancaster-Division Street
2016-07-06,136,23,16,"Ozone,PM2.5",Ozone,Lancaster-Division Street
2016-07-07,126,24,16,"Ozone,PM2.5",Ozone,Lancaster-Division Street
2016-07-08,126,29,17,"Ozone,PM2.5",Ozone,Santa Clarita
2016-07-09,133,24,16,"Ozone,PM2.5",Ozone,Glendora
2016-07-10,87,24,16,"Ozone,PM2.5",Ozone,Azusa
2016-07-11,108,32,17,"Ozone,PM2.5",Ozone,Lancaster-Division Street
2016-07-12,133,23,16,"Ozone,PM2.5",Ozone,Santa Clarita
2016-07-13,156,21,15,"Ozone,PM2.5",Ozone,Santa Clarita
2016-07-14,156,29,17,"Ozone,PM2.5",Ozone,Glendora
2016-07-15,126,22,15,"Ozone,PM2.5",Ozone,Santa Clarita
2016-07-16,143,24,16,"Ozone,PM2.5",Ozone,Lancaster-Division Street
2016-07-17,133,33,17,"Ozone,PM2.5",Ozone,Lancaster-Division Street
2016-07-18,115,23,15,"Ozone,PM2.5",Ozone,Lancaster-Division Street
2016-07-19,115,24,16,"Ozone,PM2.5",Ozone,Glendora
2016-07-20,105,30,17,"Ozone,PM2.5",Ozone,Glendora
2016-07-21,105,24,16,"Ozone,PM2.5",Ozone,Santa Clarita
2016-07-22,169,24,16,"Ozone,PM2.5",Ozone,Glendora
2016-07-23,226,33,17,"Ozone,PM2.5",PM2.5,Lebec
2016-07-24,158,22,16,"Ozone,PM2.5",PM2.5,Lancaster-Division Street
2016-07-25,134,23,16,"Ozone,PM2.5",PM2.5,Lancaster-Division Street
2016-07-26,133,29,17,"Ozone,PM2.5",Ozone,Santa Clarita
2016-07-27,112,23,16,"Ozone,PM2.5",Ozone,Lancaster-Division Street
2016-07-28,172,21,15,"Ozone,PM2.5",Ozone,Santa Clarita
2016-07-29,206,30,16,"Ozone,PM2.5",Ozone,Santa Clarita
2016-07-30,122,24,16,"Ozone,PM2.5",Ozone,Lancaster-Division Street
2016-07-31,101,24,16,"Ozone,PM2.5",Ozone,Lancaster-Division Street
2016-08-01,105,30,17,"Ozone,PM2.5",Ozone,Lancaster-Division Street
2016-08-02,119,24,16,"Ozone,PM2.5",Ozone,Santa Clarita
2016-08-03,122,24,16,"Ozone,PM2.5",Ozone,Lancaster-Division Street
2016-08-04,147,29,16,"Ozone,PM2.5",Ozone,Lancaster-Division Street
2016-08-05,136,24,16,"Ozone,PM2.5",Ozone,Santa Clarita
2016-08-06,140,24,16,"Ozone,PM2.5",Ozone,Santa Clarita
2016-08-07,136,29,16,"Ozone,PM2.5",Ozone,Glendora
2016-08-08,156,22,15,"Ozone,PM2.5",Ozone,Santa Clarita
2016-08-09,129,23,15,"Ozone,PM2.5",Ozone,Santa Clarita
2016-08-10,119,27,15,"Ozone,PM2.5",Ozone,Glendora
2016-08-11,129,26,15,"Ozone,PM2.5",Ozone,Lancaster-Division Street
2016-08-12,77,24,16,"Ozone,PM2.5",Ozone,Glendora
2016-08-13,136,30,17,"Ozone,PM2.5",Ozone,Glendora
2016-08-14,172,24,16,"Ozone,PM2.5",Ozone,Glendora
2016-08-15,112,24,16,"Ozone,PM2.5",Ozone,Pomona
2016-08-16,97,33,17,"Ozone,PM2.5",Ozone,Santa Clarita
2016-08-17,115,24,16,"Ozone,PM2.5",Ozone,Glendora
2016-08-18,84,24,16,"Ozone,PM2.5",Ozone,Glendora
2016-08-19,100,27,16,"Ozone,PM2.5",Ozone,Santa Clarita
2016-08-20,75,22,16,"Ozone,PM2.5",PM2.5,Reseda
2016-08-21,77,23,16,"Ozone,PM2.5",Ozone,Azusa
2016-08-22,80,31,17,"Ozone,PM2.5",PM2.5,Reseda
2016-08-23,122,21,15,"Ozone,PM2.5",Ozone,Lancaster-Division Street
2016-08-24,129,22,15,"Ozone,PM2.5",Ozone,Lancaster-Division Street
2016-08-25,140,27,16,"Ozone,PM2.5",Ozone,Lancaster-Division Street
2016-08-26,97,22,16,"Ozone,PM2.5",Ozone,Lancaster-Division Street
2016-08-27,108,24,16,"Ozone,PM2.5",Ozone,Lancaster-Division Street
2016-08-28,126,33,17,"Ozone,PM2.5",Ozone,Glendora
2016-08-29,161,24,16,"Ozone,PM2.5",Ozone,Glendora
2016-08-30,187,24,16,"Ozone,PM2.5",Ozone,Glendora
2016-08-31,151,30,17,"Ozone,PM2.5",Ozone,Glendora
2016-09-01,80,24,16,"Ozone,PM2.5",Ozone,Glendora
2016-09-02,84,24,16,"Ozone,PM2.5",Ozone,Santa Clarita
2016-09-03,87,33,17,"Ozone,PM2.5",Ozone,Lancaster-Division Street
2016-09-04,68,24,16,"Ozone,PM2.5",PM2.5,Reseda
2016-09-05,73,24,16,"Ozone,PM2.5",PM2.5,Reseda
2016-09-06,93,28,17,"Ozone,PM2.5",Ozone,Santa Clarita
2016-09-07,129,24,16,"Ozone,PM2.5",Ozone,Santa Clarita
2016-09-08,97,24,16,"Ozone,PM2.5",Ozone,Santa Clarita
2016-09-09,87,31,17,"Ozone,PM2.5",Ozone,Lancaster-Division Street
2016-09-10,108,24,16,"Ozone,PM2.5",Ozone,Glendora
2016-09-11,72,24,16,"Ozone,PM2.5",PM2.5,Reseda
2016-09-12,77,29,17,"Ozone,PM2.5",PM2.5,Reseda
2016-09-13,60,22,15,"Ozone,PM2.5",PM2.5,Reseda
2016-09-14,74,21,15,"Ozone,PM2.5",Ozone,Lancaster-Division Street
2016-09-15,84,32,16,"Ozone,PM2.5",Ozone,Santa Clarita
2016-09-16,112,22,15,"Ozone,PM2.5",Ozone,Santa Clarita
2016-09-17,126,24,16,"Ozone,PM2.5",Ozone,Santa Clarita
2016-09-18,147,30,17,"Ozone,PM2.5",Ozone,Glendora
2016-09-19,76,24,16,"Ozone,PM2.5",PM2.5,Reseda
2016-09-20,71,23,15,"Ozone,PM2.5",Ozone,Lancaster-Division Street
2016-09-21,84,30,15,"Ozone,PM2.5",Ozone,Lancaster-Division Street
2016-09-22,69,24,16,"Ozone,PM2.5",PM2.5,Reseda
2016-09-23,68,22,14,"Ozone,PM2.5",PM2.5,Reseda
2016-09-24,80,29,17,"Ozone,PM2.5",Ozone,Glendora
2016-09-25,112,23,15,"Ozone,PM2.5",Ozone,Glendora
2016-09-26,64,23,15,"Ozone,PM2.5",Ozone,LAX Hastings
2016-09-27,64,31,17,"Ozone,PM2.5",Ozone,Reseda
2016-09-28,77,22,15,"Ozone,PM2.5",Ozone,Santa Clarita
2016-09-29,97,24,16,"Ozone,PM2.5",Ozone,Reseda
2016-09-30,71,29,16,"Ozone,PM2.5",Ozone,Reseda
2016-10-01,70,23,15,"Ozone,PM2.5",PM2.5,Long Beach-Route 710 Near Road
2016-10-02,74,22,15,"Ozone,PM2.5",Ozone,Lancaster-Division Street
2016-10-03,66,31,16,"Ozone,PM2.5",PM2.5,Long Beach-Route 710 Near Road
2016-10-04,65,23,15,"Ozone,PM2.5",PM2.5,Reseda
2016-10-05,64,23,15,"Ozone,PM2.5",PM2.5,Reseda
2016-10-06,80,30,17,"Ozone,PM2.5",Ozone,Glendora
2016-10-07,78,24,16,"Ozone,PM2.5",PM2.5,Long Beach-Route 710 Near Road
2016-10-08,105,24,16,"Ozone,PM2.5",Ozone,Santa Clarita
2016-10-09,108,33,17,"Ozone,PM2.5",Ozone,Glendora
2016-10-10,62,24,16,"Ozone,PM2.5",PM2.5,Long Beach-Route 710 Near Road
2016-10-11,69,23,16,"Ozone,PM2.5",PM2.5,Reseda
2016-10-12,76,29,16,"Ozone,PM2.5",PM2.5,Reseda
2016-10-13,79,23,15,"Ozone,PM2.5",PM2.5,Reseda
2016-10-14,84,24,16,"Ozone,PM2.5",PM2.5,Los Angeles-North Main Street
2016-10-15,71,32,17,"Ozone,PM2.5",PM2.5,Reseda
2016-10-16,55,22,16,"Ozone,PM2.5",PM2.5,Reseda
2016-10-17,56,23,16,"Ozone,PM2.5",PM2.5,Reseda
2016-10-18,58,28,16,"Ozone,PM2.5",PM2.5,Los Angeles-North Main Street
2016-10-19,71,22,15,"Ozone,PM2.5",PM2.5,Long Beach-Route 710 Near Road
2016-10-20,59,22,15,"Ozone,PM2.5",PM2.5,Long Beach-Route 710 Near Road
2016-10-21,66,32,17,"Ozone,PM2.5",PM2.5,Long Beach-Route 710 Near Road
2016-10-22,77,24,16,"Ozone,PM2.5",Ozone,Lancaster-Division Street
2016-10-23,67,23,15,"Ozone,PM2.5",PM2.5,Reseda
2016-10-24,71,28,16,"Ozone,PM2.5",PM2.5,Reseda
2016-10-25,65,24,16,"Ozone,PM2.5",PM2.5,Reseda
2016-10-26,65,24,16,"Ozone,PM2.5",PM2.5,Reseda
2016-10-27,67,33,17,"Ozone,PM2.5",PM2.5,Reseda
2016-10-28,55,24,16,"Ozone,PM2.5",PM2.5,Reseda
2016-10-29,57,24,16,"Ozone,PM2.5",PM2.5,Reseda
2016-10-30,60,30,17,"Ozone,PM2.5",PM2.5,Long Beach-Route 710 Near Road
2016-10-31,57,23,15,"Ozone,PM2.5",PM2.5,Reseda
2016-11-01,63,22,15,"Ozone,PM2.5",PM2.5,Reseda
2016-11-02,61,31,16,"Ozone,PM2.5",PM2.5,Long Beach-Route 710 Near Road
2016-11-03,65,22,14,"Ozone,PM2.5",PM2.5,Long Beach-Route 710 Near Road
