date,daily_aqi,n_monitor_readings,n_sites,pollutants_used,dominant_pollutant,dominant_site
2016-05-07,51.0,52,16,"CO,NO2,Ozone,PM2.5,SO2",PM2.5,Glendora
2016-05-08,45.0,53,16,"CO,NO2,Ozone,PM2.5,SO2",PM2.5,Reseda
2016-05-09,56.0,60,17,"CO,NO2,Ozone,PM2.5,SO2",PM2.5,Glendora
2016-05-10,77.0,54,16,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Lancaster-Division Street
2016-05-11,101.0,53,16,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Lancaster-Division Street
2016-05-12,105.0,53,16,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Lancaster-Division Street
2016-05-13,115.0,53,16,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Lancaster-Division Street
2016-05-14,79.0,54,16,"CO,NO2,Ozone,PM2.5,SO2",PM2.5,Lancaster-Division Street
2016-05-15,58.0,60,17,"CO,NO2,Ozone,PM2.5,SO2",PM2.5,Reseda
2016-05-16,64.0,54,16,"CO,NO2,Ozone,PM2.5,SO2",PM2.5,Reseda
2016-05-17,64.0,54,16,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Santa Clarita
2016-05-18,67.0,61,17,"CO,NO2,Ozone,PM2.5,SO2",PM2.5,Reseda
2016-05-19,76.0,55,16,"CO,NO2,Ozone,PM2.5,SO2",PM2.5,Reseda
2016-05-20,59.0,52,16,"CO,NO2,Ozone,PM2.5,SO2",PM2.5,Reseda
2016-05-21,52.0,61,17,"CO,NO2,Ozone,PM2.5,SO2",PM2.5,Glendora
2016-05-22,53.0,55,16,"CO,NO2,Ozone,PM2.5,SO2",PM2.5,Lancaster-Division Street
2016-05-23,52.0,55,16,"CO,NO2,Ozone,PM2.5,SO2",PM2.5,Reseda
2016-05-24,55.0,58,16,"CO,NO2,Ozone,PM2.5,SO2",PM2.5,Reseda
2016-05-25,51.0,47,15,"CO,NO2,Ozone,PM2.5,SO2",PM2.5,Reseda
2016-05-26,58.0,50,15,"CO,NO2,Ozone,PM2.5,SO2",PM2.5,Reseda
2016-05-27,87.0,56,17,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Santa Clarita
