date,daily_aqi,n_monitor_readings,n_sites,pollutants_used,dominant_pollutant,dominant_site
2016-04-23,67.0,48,16,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Lancaster-Division Street
2016-04-24,77.0,53,16,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Azusa
2016-04-25,68.0,48,16,"CO,NO2,Ozone,PM2.5,SO2",PM2.5,Long Beach-Route 710 Near Road
2016-04-26,64.0,44,15,"CO,NO2,Ozone,PM2.5,SO2",Ozone,West Los Angeles
2016-04-27,69.0,49,15,"CO,NO2,Ozone,PM2.5,SO2",PM2.5,Reseda
2016-04-28,59.0,47,16,"CO,NO2,Ozone,PM2.5,SO2",PM2.5,Long Beach-Route 710 Near Road
2016-04-29,58.0,47,16,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Santa Clarita
2016-04-30,56.0,53,16,"CO,NO2,Ozone,PM2.5,SO2",PM2.5,Los Angeles-North Main Street
2016-05-01,80.0,48,16,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Santa Clarita
2016-05-02,68.0,46,16,"CO,NO2,Ozone,PM2.5,SO2",PM2.5,Long Beach-Route 710 Near Road
2016-05-03,84.0,47,16,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Lancaster-Division Street
2016-05-04,77.0,48,16,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Lancaster-Division Street
2016-05-05,47.0,44,16,"CO,NO2,Ozone,PM2.5,SO2",PM2.5,Long Beach-Route 710 Near Road
2016-05-06,44.0,49,15,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Lancaster-Division Street
2016-05-07,46.0,46,16,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Lancaster-Division Street
2016-05-08,44.0,47,16,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Lancaster-Division Street
2016-05-09,50.0,52,16,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Lancaster-Division Street
2016-05-10,77.0,47,16,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Lancaster-Division Street
2016-05-11,101.0,47,16,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Lancaster-Division Street
2016-05-12,105.0,45,15,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Lancaster-Division Street
2016-05-13,115.0,47,16,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Lancaster-Division Street
2016-05-14,79.0,48,16,"CO,NO2,Ozone,PM2.5,SO2",PM2.5,Lancaster-Division Street
2016-05-15,46.0,53,16,"CO,NO2,Ozone,PM2.5,SO2",PM2.5,Lancaster-Division Street
2016-05-16,53.0,48,16,"CO,NO2,Ozone,PM2.5,SO2",PM2.5,Long Beach-Route 710 Near Road
2016-05-17,64.0,48,16,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Santa Clarita
2016-05-18,61.0,50,16,"CO,NO2,Ozone,PM2.5,SO2",PM2.5,Long Beach-Route 710 Near Road
2016-05-19,74.0,48,16,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Lancaster-Division Street
2016-05-20,55.0,45,16,"CO,NO2,Ozone,PM2.5,SO2",PM2.5,Long Beach-Route 710 Near Road
2016-05-21,52.0,53,16,"CO,NO2,Ozone,PM2.5,SO2",PM2.5,Lancaster-Division Street
2016-05-22,53.0,48,16,"CO,NO2,Ozone,PM2.5,SO2",PM2.5,Lancaster-Division Street
2016-05-23,49.0,48,16,"CO,NO2,Ozone,PM2.5,SO2",PM2.5,Long Beach-Route 710 Near Road
2016-05-24,44.0,49,15,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Lancaster-Division Street
2016-05-25,42.0,41,15,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Lancaster-Division Street
2016-05-26,46.0,44,15,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Lancaster-Division Street
2016-05-27,87.0,49,16,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Santa Clarita
2016-05-28,108.0,45,16,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Lancaster-Division Street
2016-05-29,90.0,45,16,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Lancaster-Division Street
2016-05-30,101.0,49,15,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Lancaster-Division Street
2016-05-31,100.0,44,15,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Lancaster-Division Street
2016-06-01,100.0,44,15,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Santa Clarita
2016-06-02,190.0,53,16,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Santa Clarita
2016-06-03,166.0,48,16,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Santa Clarita
